Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,-7.35,-16.22,270,top
C2,0.1uF,C_0402_1005Metric,-5.5,-16.2,270,top
C3,10uF,C_0805_2012Metric,-0.175,-13.6,0,top
C4,1uF,C_0402_1005Metric,10,18.1,90,top
C5,0.1uF,C_0402_1005Metric,15.65,5.85,270,top
C6,0.1uF,C_0402_1005Metric,10.22,4.85,180,top
C7,0.1uF,C_0402_1005Metric,13.6,11.25,0,top
C8,0.1uF,C_0402_1005Metric,16.4,10.18,90,top
C9,1uF,C_0402_1005Metric,17.45,10.18,90,top
C10,10uF,C_0805_2012Metric,-0.2,-7,0,top
C11,0.1uF,C_0402_1005Metric,12.78,-2.4,0,top
D1,GRN,D_0603_1608Metric,2.5,20.6625,270,top
D2,RS-3535MWAR,LED_RGB_PLCC-6,0.3,-3,270,top
FB2,Ferrite_Bead,L_0805_2012Metric,-0.9,-10.2,270,top
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,-9.95,-21.35,0,top
Q1,2N7002,SOT-23,0.5,10.25,0,top
Q2,2N7002,SOT-23,0.5,6.6,0,top
Q3,2N7002,SOT-23,0.5,13.85,0,top
R1,470,R_0402_1005Metric,2.55,17.71,90,top
R2,10K,R_0402_1005Metric,-5.5,-6.09,90,top
R3,47,R_0603_1608Metric,2.5,2.325,90,top
R4,47,R_0603_1608Metric,0.85,2.325,90,top
R5,82,R_1206_3216Metric,-1.2,2.3875,90,top
R6,49.9,R_0402_1005Metric,-3.71,6.1,0,top
R7,49.9,R_0402_1005Metric,-3.7,8.5,0,top
R8,10K,R_0402_1005Metric,-17.5,-9.35,90,top
R9,49.9,R_0402_1005Metric,-3.71,12.3,0,top
R10,10K,R_0402_1005Metric,7.6,18.09,270,top
R11,10K,R_0402_1005Metric,5.8,-0.4,90,top
R12,10K,R_0402_1005Metric,4.6,-0.41,90,top
R13,49.9,R_0402_1005Metric,10.81,-2.4,180,top
R14,49.9,R_0402_1005Metric,8.79,-2.4,0,top
R15,49.9,R_0402_1005Metric,16.81,-2.4,180,top
R16,49.9,R_0402_1005Metric,14.79,-2.4,0,top
R17,270,R_0603_1608Metric,20.4,2.3,270,top
R18,49.9,R_0402_1005Metric,15.2,12.41,90,top
R19,49.9,R_0402_1005Metric,16.2,12.41,90,top
R20,49.9,R_0402_1005Metric,11.7,11.71,90,top
R21,270,R_0603_1608Metric,18.8,2.31,90,top
R22,49.9,R_0402_1005Metric,-3.7,2.2,180,top
R23,12.1K,R_0402_1005Metric,17.5,2.3,270,top
R24,10K,R_0402_1005Metric,8.8,18.1,90,top
U1,AZ1117EH-3.3TRG1,SOT-223,-1,-19.15,270,top
U2,ESP32-WROOM-32E,ESP32-WROOM-32,-14.7,6.645,0,top
U3,LAN8720A,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,12.5,8,180,top
