Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",-7.350000,-16.220000,270.000000,top
"C2","0.1uF","C_0402_1005Metric",-5.500000,-16.200000,270.000000,top
"C3","10uF","C_0805_2012Metric",-0.175000,-13.600000,0.000000,top
"C4","1uF","C_0402_1005Metric",10.000000,18.100000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",15.650000,5.850000,270.000000,top
"C6","0.1uF","C_0402_1005Metric",10.220000,4.850000,180.000000,top
"C7","0.1uF","C_0402_1005Metric",13.600000,11.250000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",16.400000,10.180000,90.000000,top
"C9","1uF","C_0402_1005Metric",17.450000,10.180000,90.000000,top
"C10","10uF","C_0805_2012Metric",-0.200000,-7.000000,0.000000,top
"C11","0.1uF","C_0402_1005Metric",12.780000,-2.400000,0.000000,top
"C12","1uF","C_0402_1005Metric",-9.906000,-6.604000,180.000000,top
"D1","GRN","D_0603_1608Metric",2.500000,20.662500,270.000000,top
"D2","RS-3535MWAR","LED_RGB_PLCC-6",0.300000,-3.000000,270.000000,top
"FB2","Ferrite_Bead","L_0805_2012Metric",-0.900000,-10.200000,270.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",-9.906000,-21.336000,0.000000,top
"Q1","2N7002","SOT-23",0.500000,10.250000,0.000000,top
"Q2","2N7002","SOT-23",0.500000,6.600000,0.000000,top
"Q3","2N7002","SOT-23",0.500000,13.850000,0.000000,top
"Q4","2N7002","SOT-23",-5.334000,-11.176000,270.000000,top
"Q5","2N7002","SOT-23",-5.334000,-7.366000,90.000000,top
"R1","470","R_0402_1005Metric",2.550000,17.710000,90.000000,top
"R2","10K","R_0402_1005Metric",-9.906000,-5.334000,180.000000,top
"R3","47","R_0603_1608Metric",2.500000,2.325000,90.000000,top
"R4","47","R_0603_1608Metric",0.850000,2.325000,90.000000,top
"R5","82","R_1206_3216Metric",-1.200000,2.387500,90.000000,top
"R6","49.9","R_0402_1005Metric",-3.710000,6.100000,0.000000,top
"R7","49.9","R_0402_1005Metric",-3.700000,8.500000,0.000000,top
"R8","10K","R_0402_1005Metric",-17.500000,-9.350000,90.000000,top
"R9","49.9","R_0402_1005Metric",-3.710000,12.300000,0.000000,top
"R10","10K","R_0402_1005Metric",7.600000,18.090000,270.000000,top
"R11","10K","R_0402_1005Metric",5.800000,-0.400000,90.000000,top
"R12","10K","R_0402_1005Metric",4.600000,-0.410000,90.000000,top
"R13","49.9","R_0402_1005Metric",10.810000,-2.400000,180.000000,top
"R14","49.9","R_0402_1005Metric",8.790000,-2.400000,0.000000,top
"R15","49.9","R_0402_1005Metric",16.810000,-2.400000,180.000000,top
"R16","49.9","R_0402_1005Metric",14.790000,-2.400000,0.000000,top
"R17","270","R_0603_1608Metric",20.400000,2.300000,270.000000,top
"R18","49.9","R_0402_1005Metric",15.200000,12.410000,90.000000,top
"R19","49.9","R_0402_1005Metric",16.200000,12.410000,90.000000,top
"R20","49.9","R_0402_1005Metric",11.700000,11.710000,90.000000,top
"R21","270","R_0603_1608Metric",18.800000,2.310000,90.000000,top
"R22","49.9","R_0402_1005Metric",-3.700000,2.200000,180.000000,top
"R23","12.1K","R_0402_1005Metric",17.500000,2.300000,270.000000,top
"R24","10K","R_0402_1005Metric",8.800000,18.100000,90.000000,top
"U1","AZ1117EH-3.3TRG1","SOT-223",-1.000000,-19.150000,270.000000,top
"U2","ESP32-WROOM-32E","ESP32-WROOM-32",-14.700000,6.645000,0.000000,top
"U3","LAN8720A","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias",12.500000,8.000000,180.000000,top
"U4","CP2102-GMR_NRND","VFQFN-28-1EP_5x5mm",-12.200000,-12.200000,270.000000,top
